Kabupaten/Kota,Tahun,Luas Wilayah,Indeks Pembangunan Manusia (IPM),Harapan Lama Sekolah (Tahun),Rata-rata Lama sekolah (Tahun),Angka Partisipasi Sekolah (APS) Usia 7-12 (Persen),Angka Partisipasi Sekolah (APS) Usia 13-15 (Persen),Angka Partisipasi Sekolah (APS) Usia 16-18 (Persen),Angka Partisipasi Sekolah (APS) Usia 19-23 (Persen),Rasio Guru per Siswa,Jumlah Penduduk (Ribu),Persentase Penduduk (Persen),Persentase Penduduk Miskin (Persen),Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja - Agustus,Pengeluaran Per Kapita Riil Disesuaikan (Ribu Rupiah),Persentase Rumah Tangga dengan Akses Air Bersih,Laju Pertumbuhan Penduduk per Tahun (persen),Kepadatan Penduduk per km persegi (km²),Gini Ratio
Kota Malang,2020,"145,28","82,19","15,51","10,18","99,36","95,19","84,41","60,88","15,93","843,8","2,07","4,44","9,61","66,41",16593,"99,89","0,27",5808,"0,395"
Kota Probolinggo,2020,"56,67","74,81","13,59","8,7","99,49","96,53","81,13","24,87","14,55","239,6","0,59","7,43","6,7","69,07",12180,100,"0,96",4229,"0,311"
Kota Pasuruan,2020,"35,29","76,47","13,62","9,12","99,28","95,51","75,79","22,4","15,23",208,"0,51","6,66","6,33","70,05",13281,"99,72","1,07",5894,"0,301"
Kota Mojokerto,2020,"20,21","78,95",14,"10,25","99,56","99,02","80,13","31,03","15,25","132,4","0,33","6,24","6,74","68,21",13499,100,"0,94",6553,"0,355"
Kota Madiun,2020,"33,92","81,93","14,4","11,14","98,91","98,1","97,11","35,39","15,88","195,2","0,48","4,98","8,32","68,63",16018,"99,83","1,29",5754,"0,392"
Kota Surabaya,2020,"350,54","82,76","14,8","10,49","99,9","99,33","67,33","48,93","18,61","2874,3","7,07","5,02","9,79","68,05",17755,"98,74","0,37",8200,"0,344"
Kota Batu,2020,"136,74","76,82","14,13","9,07","99,5","98,37","75,24","38,62","14,34",213,"0,52","3,89","5,93","72,33",12824,"99,02","1,1",1558,"0,333"
Pacitan,2021,"1389,92","69,45","12,65","7,61","99,51","97,21","76,94","14,8","9,23","589,1","1,44","15,11","2,04","80,57",8887,"76,71","0,68",424,"0,337"
Ponorogo,2021,"1305,7","71,81","13,74","7,55","99,64","98,84","80,74","25,01","11,86","955,8","2,34","10,26","4,38","72,63",9851,"96,3","0,92",732,"0,369"
Trenggalek,2021,"1147,22","70,4","12,47","7,56","99,09","96,97","77,96","15,1","12,22","734,9","1,8","12,14","3,53","72,36",9743,"75,78","0,69",641,"0,335"
Tulungagung,2021,"1055,65","73,29","13,32","8,34","99,41","98,51","79,99","26,51","12,15","1096,6","2,68","7,51","4,91","72,26",10807,"97,4","0,83",1039,"0,327"
Blitar,2021,"1336,48","71,48","12,63","7,5","99,4","99,53","70,46","20,69","14,23",1231,"3,01","9,65","3,66","70,44",10757,"93,33","0,79",921,"0,353"
Kediri,2021,"1386,05","73,31","13,44","8,08",99,"99,45","81,84","21,8","16,09","1644,4","4,02","11,64","5,15","69,34",11127,"96,35","0,74",1186,"0,33"
Malang,2021,"3530,65","71,48","13,24","7,43","99,87","97,49","65,48","34,64","17,00","2668,3","6,53","10,5","5,4","68,49",10163,"94,14","0,7",756,"0,367"
Lumajang,2021,"1790,9","67,65","11,88","6,67","98,96","98,15","55,42","12,98","14,21","1127,1","2,76","10,05","3,51","66,19",9203,"95,73","0,94",629,"0,309"
Jember,2021,"3092,34","69,2","13,43","6,49","99,55","97,37","69,83","27,22","15,49","2550,4","6,24","10,41","5,44","68,97",9410,"94,35","0,72",825,"0,336"
Banyuwangi,2021,"5782,4","72,62","13,1","7,42","99,65","98,46","79,37","18,19","14,67","1718,5","4,2","8,07","5,42","72,32",12217,"94,16","0,81",297,"0,373"
Bondowoso,2021,"1525,97","69,24","13,29","5,94","99,41","97,49","71,24","16,76","9,92","778,5","1,9","14,73","4,46","73,89",10690,"93,44","0,41",510,"0,334"
Situbondo,2021,"1669,87","69,34","13,16","6,62","98,85","97,38","65,56","16,19","10,16","688,3","1,68","12,63","3,68","71,63",9996,"98,88","0,46",412,"0,323"
Probolinggo,2021,"1696,21","68,94","12,36","6,12","99,37",94,"60,37","15,31","13,14","1155,9","2,83","18,91","4,55","73,24",10969,"93,18","0,39",681,"0,326"
Pasuruan,2021,"1474,02","70,54","12,58","7,41","99,44","97,19","64,68","21,2","15,21","1611,8","3,94","9,7","6,03","69,03",10297,"97,36","0,48",1093,"0,344"
Sidoarjo,2021,"634,38","81,01","14,94","10,72","99,59","99,13","87,45","41,61","17,88","2091,9","5,12","5,93","10,87","66,47",14578,"96,82","0,58",3298,"0,347"
Mojokerto,2021,"717,83","74,9","12,95","8,64","99,57","98,61","82,34","14,37","15,30","1125,5","2,75","10,62","5,54","70,47",12844,"98,37","0,75",1568,"0,294"
Jombang,2021,"1115,09","74,1","13,57","8,55","99,49","98,99","90,39","23,61","14,69","1325,9","3,24",10,"7,09","70,69",11394,"99,44","0,8",1189,"0,332"
Nganjuk,2021,"1224,25","73,03","12,87","7,78","99,62","99,36","83,19","17,48","13,43","1109,7","2,71","11,85","4,98","64,24",12172,"99,03","0,7",906,"0,308"
Madiun,2021,"1037,58","73,07","13,17","7,82","98,79","97,25","78,7","19,19","12,36","750,1","1,84","11,91","4,99","67,77",11658,"95,1","1,04",723,"0,359"
